out,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU6803,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:KD3-10,,
OTU6804,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,g:Gemmata,
OTU6802,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,
OTU6805,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfobacterales,f:Nitrospinaceae,g:Candidatus_Entotheonella,
OTU6807,k:Bacteria,p:Actinobacteria,c:MB-A2-108,,,,
OTU6806,k:Bacteria,p:Candidate_division_OP3,,,,,
OTU6809,k:Bacteria,p:SM2F11,,,,,
OTU6813,k:Bacteria,,,,,,
OTU6810,k:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:Phycisphaerales,f:Phycisphaeraceae,g:SM1A02,
OTU6808,k:Bacteria,p:Chloroflexi,c:Ktedonobacteria,o:C0119,,,
OTU6814,k:Bacteria,p:Chlamydiae,c:Chlamydiae,o:Chlamydiales,f:Parachlamydiaceae,,
OTU6816,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,
OTU6817,k:Bacteria,,,,,,
OTU6815,k:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:WD2101_soil_group,,,
OTU6812,k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae,g:Bacillus,s:Bacillus_sp._cryopeg_9b
OTU6811,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Coxiellaceae,g:Coxiella,
OTU6818,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,,,,
OTU6822,k:Bacteria,,,,,,
OTU6821,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,g:Chitinophaga,
OTU6823,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,g:Singulisphaera,
OTU6820,k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Epulopiscium,
OTU6819,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Oligoflexales,,,
OTU6824,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,,,,
OTU6825,k:Bacteria,,,,,,
OTU6827,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,
OTU6826,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,
OTU6828,k:Bacteria,p:Chlamydiae,c:Chlamydiae,o:Chlamydiales,f:Parachlamydiaceae,g:Candidatus_Protochlamydia,s:Parachlamydiaceae_bacterium_CRIB39
OTU6834,k:Bacteria,,,,,,
OTU6835,k:Bacteria,p:Candidate_division_OP3,,,,,
OTU6830,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,,,,
OTU6829,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,
OTU6832,k:Bacteria,p:Elusimicrobia,c:Elusimicrobia,o:Lineage_IIb,,,
OTU6831,k:Bacteria,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,,,
OTU6836,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,g:Gemmata,
OTU6839,k:Bacteria,,,,,,
OTU6833,k:Bacteria,p:Hydrogenedentes,,,,,
OTU6838,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,
OTU6841,k:Bacteria,p:Candidate_division_OP3,,,,,
OTU6837,k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Paenibacillaceae,g:Brevibacillus,
OTU6840,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Coxiellaceae,g:Aquicella,
OTU6842,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:SM2D12,,
OTU6844,k:Bacteria,p:Elusimicrobia,c:Elusimicrobia,o:Lineage_IIa,,,
OTU6845,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
OTU6843,k:Bacteria,p:Proteobacteria,,,,,
OTU6846,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,
OTU6847,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,
OTU6848,k:Bacteria,p:Cyanobacteria,c:Chloroplast,,,,
OTU6852,k:Bacteria,,,,,,
OTU6849,k:Bacteria,p:Parcubacteria,,,,,
OTU6851,k:Bacteria,p:Gracilibacteria,,,,,
OTU6854,k:Bacteria,p:Parcubacteria,,,,,
OTU6853,k:Bacteria,p:Chloroflexi,c:Thermomicrobia,o:Sphaerobacterales,f:Sphaerobacteraceae,g:Nitrolancea,
OTU6856,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
OTU6850,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,,
OTU6855,k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus,
OTU6861,k:Bacteria,p:Candidate_division_OP3,,,,,
OTU6857,k:Bacteria,p:Candidate_division_OP3,,,,,
OTU6859,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Coxiellaceae,g:Aquicella,
OTU6860,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadales_Incertae_Sedis,g:Acidibacter,s:bacterium_Ellin5264
OTU6858,k:Bacteria,p:Chloroflexi,c:Caldilineae,o:Caldilineales,f:Caldilineaceae,,
OTU6862,k:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,,
OTU6863,k:Bacteria,,,,,,
OTU6867,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,g:Glarea_lozoyensis_74030,
OTU6864,k:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:S0134_terrestrial_group,,,
OTU6865,k:Bacteria,p:Verrucomicrobia,c:Spartobacteria,o:Chthoniobacterales,f:Chthoniobacteraceae,g:Chthoniobacter,
OTU6871,k:Bacteria,,,,,,
OTU6866,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,,,,
OTU6868,k:Bacteria,p:Actinobacteria,c:Thermoleophilia,o:Solirubrobacterales,f:0319-6M6,,
OTU6870,k:Bacteria,p:Cyanobacteria,c:Melainabacteria,o:Vampirovibrionales,,,
OTU6872,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Methylobacterium,
OTU6869,k:Bacteria,p:Actinobacteria,c:Thermoleophilia,o:Gaiellales,,,
