X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
OTU47	OTU50	0.286329	-0.239846	0.586134	1	2	8	-1	0.426000	0.287943	0.452439	0.587435	0.125717	-1	0.242427	0.529685	0.696982	0.054708	-1	0.427000	0.339329	0.015257	0.507483	0.003256	2	21
OTU47	OTU32	-0.121329	-0.771642	0.611890	2	2	8	0	0.538000	-0.321878	0.398283	-0.321878	0.398283	0	-0.485216	0.185503	-0.485216	0.185503	0	0.497572	0.330650	0.028330	0.263195	0.007495	2	22
OTU47	OTU1674	-0.303797	-0.592185	0.157742	1	1	3	0	0.381000	-0.617259	0.076565	-0.796687	0.017937	-1	-0.372298	0.323792	-0.691411	0.057512	-1	0.401053	0.183756	0.005777	0.378151	0.003305	2	23
OTU23	OTU2	0.039029	-0.579808	0.573651	1	1	2	0	0.893000	-0.026962	0.945108	-0.333468	0.419554	-1	0.167365	0.666905	0.287430	0.490015	1	0.604219	0.461028	0.029408	0.548292	0.014864	3	4
OTU23	OTU22	-0.221427	-0.808815	0.616412	1	2	8	-1	0.266000	-0.252948	0.511389	0.527424	0.179171	1	-0.198314	0.609005	-0.674699	0.066429	-1	0.327385	0.358869	0.017825	0.529570	0.003487	3	5
OTU23	OTU4	-0.569829	-0.855785	-0.292224	1	1	9	0	0.115000	-0.709978	0.032122	-0.709978	0.032122	0	-0.711303	0.031657	-0.718576	0.044623	-1	0.178641	0.110337	0.006799	0.095567	0.002792	3	6
OTU23	OTU2771	0.115769	-0.557689	0.674407	5	4	5	1	0.873000	0.006132	0.987508	0.451523	0.261424	-1	-0.113925	0.770409	0.481928	0.226549	-1	0.598468	0.469819	0.022529	0.581441	0.008533	3	7
OTU23	OTU14	0.001975	-0.596736	0.570169	3	2	7	1	0.847000	0.324185	0.394714	0.324185	0.394714	0	-0.021008	0.957218	0.313253	0.449943	-1	0.595983	0.330650	0.028330	0.629090	0.014421	3	8
OTU23	OTU41	-0.384444	-0.679199	0.341088	2	1	8	1	0.624000	-0.078157	0.841589	-0.412548	0.309759	1	-0.436975	0.239563	-0.674699	0.066429	1	0.532487	0.426121	0.024584	0.314181	0.003487	3	9
OTU23	OTU519	0.288628	-0.458256	0.713947	1	1	5	0	0.272000	0.517489	0.153620	0.517489	0.153620	0	0.310924	0.415424	-0.313253	0.449943	-1	0.332214	0.226700	0.017326	0.443119	0.014421	3	10
OTU23	OTU5	-0.493334	-0.901843	-0.221071	1	2	8	-1	0.043000	-0.397504	0.289403	-0.661662	0.073919	-1	-0.489456	0.181118	-0.800015	0.017116	-1	0.105846	0.285939	0.011225	0.263195	0.001444	3	11
OTU23	OTU430	-0.405021	-0.713095	0.328478	3	2	7	1	0.576000	0.110415	0.777336	-0.531549	0.175165	1	-0.264706	0.491249	-0.469880	0.240065	1	0.514860	0.416710	0.017825	0.494338	0.008941	3	12
OTU23	OTU6	0.657235	0.375100	0.915698	1	1	9	0	0.005000	0.747144	0.020688	0.747144	0.020688	0	0.912142	0.000607	0.912142	0.000607	0	0.040000	0.097560	0.005777	0.012137	0.000202	3	13
OTU23	OTU15	0.598404	0.315897	0.858755	1	1	7	0	0.036000	0.473491	0.197939	0.798379	0.017517	-1	0.652725	0.056677	0.838338	0.009323	-1	0.103226	0.242375	0.005777	0.129547	0.001019	3	14
OTU23	OTU995	0.372733	-0.443449	0.779864	1	2	8	-1	0.362000	0.175959	0.650659	0.454892	0.257435	-1	0.357476	0.344916	0.698795	0.053813	-1	0.388267	0.406662	0.022321	0.391395	0.003232	3	15
OTU23	OTU18	0.560717	0.268016	0.834017	1	2	8	-1	0.040000	0.110841	0.776495	0.788601	0.020032	-1	0.334731	0.378595	0.862291	0.005873	-1	0.103226	0.416710	0.005777	0.417760	0.000786	3	16
OTU23	OTU3994	0.392784	-0.456005	0.761587	2	1	8	1	0.445000	0.608260	0.082216	0.608260	0.082216	0	0.344538	0.363889	0.694623	0.055885	1	0.440736	0.189728	0.012210	0.404322	0.003268	3	17
OTU23	OTU21	0.573051	0.310576	0.816819	1	2	8	-1	0.061000	0.254565	0.508601	0.887608	0.003257	-1	0.410045	0.273030	0.874267	0.004512	-1	0.125128	0.358869	0.002133	0.339853	0.000654	3	18
OTU23	OTU10	0.541778	0.262105	0.823413	1	2	8	-1	0.096000	0.376657	0.317705	0.794649	0.018452	-1	0.351468	0.353666	0.922172	0.001111	-1	0.165053	0.297303	0.005777	0.398497	0.000274	3	19
OTU23	OTU48	0.374076	0.201239	0.635660	1	1	8	0	0.029000	0.543697	0.130259	0.543794	0.163562	-1	0.689418	0.039921	0.783133	0.021531	-1	0.103226	0.217098	0.017400	0.106455	0.001689	3	20
OTU23	OTU50	0.363642	0.161006	0.924896	1	2	8	-1	0.186000	-0.105072	0.787908	0.790923	0.019415	-1	0.204272	0.598060	0.843373	0.008513	-1	0.252000	0.416710	0.005777	0.527141	0.000978	3	21
OTU23	OTU32	0.130549	-0.582983	0.617459	3	4	5	-1	0.863000	0.085806	0.826266	0.085806	0.826266	0	0.192470	0.619806	0.192470	0.619806	0	0.597749	0.421923	0.049183	0.536049	0.017734	3	22
OTU23	OTU1674	-0.337354	-0.524163	-0.188294	1	2	8	-1	0.188000	-0.508175	0.162469	-0.688799	0.058855	-1	-0.365987	0.332705	-0.895857	0.002608	-1	0.252000	0.226700	0.009919	0.385745	0.000470	3	23
OTU2	OTU22	0.301400	-0.449848	0.568896	3	3	4	0	0.758000	0.583845	0.098817	0.583845	0.098817	0	0.142862	0.713868	0.142862	0.713868	0	0.580287	0.197635	0.013725	0.555365	0.019346	4	5
OTU2	OTU4	-0.200617	-0.566509	0.418518	1	1	2	0	0.852000	-0.247640	0.520588	-0.247640	0.520588	0	-0.266667	0.487922	-0.266667	0.487922	0	0.595983	0.361101	0.034400	0.494099	0.014864	4	6
OTU2	OTU2771	0.122712	-0.563503	0.691913	3	4	4	-1	0.756000	0.216896	0.575100	0.216896	0.575100	0	0.436990	0.239545	0.494012	0.213397	1	0.580287	0.381282	0.037024	0.314181	0.008271	4	7
OTU2	OTU14	0.059438	-0.533476	0.631185	1	2	6	-1	0.930000	0.249228	0.517828	0.249228	0.517828	0	0.359836	0.341509	0.479050	0.229741	1	0.611803	0.361101	0.034369	0.390296	0.008605	4	8
OTU2	OTU41	0.124579	-0.502068	0.605703	5	6	4	-1	0.911000	0.119720	0.759002	0.119720	0.759002	0	0.033473	0.931873	0.167668	0.691465	1	0.611213	0.416710	0.045907	0.618671	0.019019	4	9
OTU2	OTU519	0.362786	-0.500155	0.696714	1	1	3	0	0.566000	0.142283	0.714989	0.371716	0.364573	-1	0.251048	0.514674	0.287430	0.490015	-1	0.511638	0.416710	0.027333	0.503892	0.014864	4	10
OTU2	OTU5	0.155675	-0.485108	0.568859	3	2	2	1	0.510000	0.269054	0.483885	0.731903	0.039007	1	0.016807	0.965768	0.179644	0.670344	1	0.478129	0.347155	0.007979	0.629090	0.018621	4	11
OTU2	OTU430	0.259251	-0.643714	0.815351	1	1	9	0	0.298000	0.569859	0.109180	0.569859	0.109180	0	0.577411	0.103507	0.577411	0.103507	0	0.353185	0.208920	0.014493	0.187487	0.004964	4	12
OTU2	OTU6	0.162966	-0.474471	0.630357	1	1	2	0	0.831000	0.319901	0.401353	0.319901	0.401353	0	0.250000	0.516490	0.250000	0.516490	0	0.595983	0.330650	0.028330	0.503892	0.015303	4	13
OTU2	OTU15	0.043444	-0.548997	0.550704	1	1	2	0	0.832000	-0.330215	0.385459	-0.330215	0.385459	0	0.016667	0.966055	0.261905	0.530923	-1	0.595983	0.330650	0.028067	0.629090	0.015661	4	14
OTU2	OTU995	-0.127906	-0.524576	0.480587	3	3	4	0	0.786000	0.135392	0.728360	0.135392	0.728360	0	-0.016952	0.965475	0.179644	0.670344	-1	0.590423	0.416710	0.044593	0.629090	0.018621	4	15
OTU2	OTU18	0.126842	-0.550704	0.642498	3	2	4	1	0.814000	-0.111377	0.775436	0.255186	0.541893	-1	0.150000	0.700094	0.309524	0.455645	-1	0.595983	0.416710	0.035188	0.555320	0.014465	4	16
OTU2	OTU3994	0.147958	-0.575125	0.648554	1	2	4	-1	0.740000	-0.093802	0.810304	0.457101	0.254836	-1	0.100419	0.797139	0.275454	0.509054	-1	0.575072	0.420066	0.022321	0.587752	0.015218	4	17
OTU2	OTU21	0.070896	-0.497184	0.513223	1	1	2	0	0.853000	-0.182501	0.638378	-0.182501	0.638378	0	0.166667	0.668231	0.166667	0.668231	0	0.595983	0.401075	0.040066	0.548292	0.018621	4	18
OTU2	OTU10	0.106651	-0.526489	0.624716	1	1	2	0	0.841000	-0.103078	0.791862	0.282300	0.498137	-1	0.150000	0.700094	0.285714	0.492726	-1	0.595983	0.416769	0.033357	0.555320	0.014864	4	19
OTU2	OTU48	-0.067878	-0.491305	0.483019	3	3	4	0	0.490000	-0.433094	0.244243	-0.433094	0.244243	0	-0.169516	0.662828	0.287430	0.490015	-1	0.469461	0.262495	0.021678	0.548292	0.014864	4	20
OTU2	OTU50	-0.136026	-0.405083	0.318919	3	3	4	0	0.877000	-0.130866	0.737177	0.181170	0.667667	1	-0.067806	0.862394	0.292770	0.481618	1	0.598468	0.416710	0.041556	0.601132	0.014864	4	21
OTU2	OTU32	-0.222449	-0.852768	0.711250	1	2	8	-1	0.097000	-0.157428	0.685840	-0.768436	0.025901	-1	-0.133333	0.732368	0.738095	0.036553	1	0.165053	0.416710	0.005934	0.563360	0.002512	4	22
OTU2	OTU1674	0.044911	-0.361269	0.377888	1	1	2	0	0.927000	-0.234504	0.543628	-0.283225	0.496669	1	-0.033903	0.930999	-0.251502	0.547943	1	0.611803	0.368561	0.033357	0.618671	0.016092	4	23
OTU22	OTU4	0.724360	0.396497	0.992174	2	1	8	1	0.003000	0.203802	0.598921	0.438089	0.277631	1	0.647082	0.059592	0.898220	0.002439	1	0.030000	0.390601	0.023141	0.132190	0.000465	5	6
OTU22	OTU2771	-0.587572	-0.933725	-0.270486	3	4	6	-1	0.020000	-0.434826	0.242148	-0.613704	0.105586	-1	-0.703390	0.034502	-0.939411	0.000531	-1	0.094118	0.262495	0.014398	0.102227	0.000187	5	7
OTU22	OTU14	-0.650574	-0.943976	-0.298914	2	3	7	-1	0.026000	-0.371754	0.324555	-0.488644	0.219190	-1	-0.675111	0.046009	-0.945472	0.000389	-1	0.103226	0.297303	0.020421	0.115023	0.000167	5	8
OTU22	OTU41	-0.377652	-0.744319	0.478365	2	3	7	-1	0.216000	-0.231248	0.549396	-0.398225	0.328513	-1	-0.468359	0.203526	-0.722944	0.042732	-1	0.276480	0.370332	0.025799	0.280979	0.002792	5	9
