X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
OTU90	OTU10	-0.396502	-1.149688	0.868936	1	2	6	-1	0.124000	-0.510469	0.241748	-0.542125	0.266478	-1	-0.555651	0.195302	-0.794461	0.059028	-1	0.427027	0.464626	0.010966	0.308915	0.006469	13	22
OTU4223	OTU41	-0.081591	-0.824561	0.699786	1	2	6	-1	0.512000	-0.411749	0.358708	-0.599990	0.208010	1	-0.302765	0.509240	-0.579771	0.227784	1	0.700645	0.521761	0.009370	0.445511	0.010443	14	15
OTU4223	OTU519	0.106933	-0.559043	0.646472	2	3	2	-1	0.525000	0.006292	0.989319	-0.355547	0.489153	1	0.277778	0.546411	0.507519	0.304084	-1	0.700645	0.686724	0.016373	0.458069	0.013009	14	16
OTU4223	OTU5	0.234921	-0.449432	0.568156	1	1	7	0	0.071000	0.982387	0.000078	0.982387	0.000078	0	0.824074	0.022624	0.824074	0.022624	0	0.376000	0.011415	0.000262	0.143971	0.003851	14	17
OTU4223	OTU430	-0.123339	-0.540846	0.508778	2	1	4	1	0.628000	-0.242859	0.599760	-0.747560	0.087545	1	-0.046296	0.921489	-0.492592	0.320875	1	0.721839	0.607352	0.007011	0.581119	0.013369	14	18
OTU4223	OTU6	-0.218800	-0.847061	0.557006	2	1	6	1	0.037000	-0.548544	0.202294	-0.872605	0.023310	1	-0.218218	0.638299	-0.985611	0.000309	1	0.284615	0.434706	0.004571	0.490999	0.000412	14	19
OTU4223	OTU18	-0.100129	-0.586085	0.475721	2	1	6	1	0.468000	-0.221893	0.632508	-0.497697	0.315094	1	0.132099	0.777693	-0.770051	0.073235	1	0.683212	0.616565	0.012142	0.537854	0.006856	14	20
OTU4223	OTU21	-0.083038	-0.599774	0.632123	2	1	6	1	0.414000	-0.271538	0.555828	-0.544939	0.263504	1	-0.092593	0.843483	-0.882353	0.019947	1	0.667742	0.588957	0.010911	0.558864	0.003627	14	21
OTU4223	OTU10	0.257481	-0.888438	1.330634	2	2	6	0	0.559000	0.057087	0.903243	-0.272705	0.601083	1	0.542080	0.208758	0.542080	0.208758	0	0.707059	0.665986	0.018497	0.313197	0.010061	14	22
OTU41	OTU519	0.068123	-0.559043	0.634795	3	4	4	-1	0.854000	0.006794	0.988467	0.253185	0.628338	-1	0.321114	0.482525	0.321114	0.482525	0	0.831731	0.686724	0.019041	0.434584	0.017871	15	16
OTU41	OTU5	-0.364440	-0.921472	0.371280	1	2	6	-1	0.102000	-0.311625	0.496278	-0.688420	0.130499	-1	-0.174319	0.708542	-0.840668	0.036058	-1	0.400000	0.557421	0.007838	0.527638	0.005061	15	17
OTU41	OTU430	0.337628	-0.254035	0.804434	1	2	6	-1	0.536000	0.044488	0.924550	0.821748	0.044829	-1	0.522958	0.228442	0.647339	0.164625	-1	0.700645	0.677038	0.005590	0.323666	0.009234	15	18
OTU41	OTU6	0.405734	0.182153	0.930312	1	1	7	0	0.413000	0.614057	0.142401	0.614057	0.142401	0	0.666694	0.101920	0.666694	0.101920	0	0.667742	0.386172	0.008045	0.288398	0.007581	15	19
OTU41	OTU18	0.308653	-0.299887	0.721650	1	2	6	-1	0.306000	-0.101306	0.828899	0.633539	0.176834	-1	0.355280	0.434192	0.758971	0.080141	-1	0.607921	0.656519	0.008931	0.410722	0.006856	15	20
OTU41	OTU21	0.317934	-0.269184	0.867102	1	1	7	0	0.583000	0.005032	0.991458	0.435933	0.387522	1	0.559657	0.191412	0.559657	0.191412	0	0.707059	0.686724	0.013653	0.308915	0.009631	15	21
OTU41	OTU10	-0.047784	-1.101520	1.042185	3	2	5	1	0.539000	-0.308200	0.501274	-0.308200	0.501274	0	-0.398216	0.376268	0.671717	0.143965	1	0.700645	0.557421	0.016475	0.383735	0.008719	15	22
OTU519	OTU5	0.142045	-0.448810	0.578739	3	2	5	1	0.865000	-0.082560	0.860319	0.493206	0.320177	1	0.138889	0.766482	0.621212	0.188046	1	0.831731	0.664398	0.012176	0.537854	0.009631	16	17
OTU519	OTU430	0.028092	-0.519634	0.580104	4	5	2	-1	0.948000	-0.032231	0.945311	-0.089060	0.866763	-1	0.555556	0.195394	0.555556	0.195394	0	0.854054	0.682150	0.025015	0.308915	0.009769	16	18
OTU519	OTU6	0.171088	-0.456979	0.769626	1	2	4	-1	0.608000	0.248142	0.591590	0.501210	0.311140	-1	0.090924	0.846280	0.405840	0.424663	-1	0.711111	0.603590	0.012060	0.558864	0.016235	16	19
OTU519	OTU18	0.290757	-0.391268	0.756681	1	1	7	0	0.574000	0.830675	0.020639	0.830675	0.020639	0	0.566139	0.185199	0.566139	0.185199	0	0.707059	0.184471	0.004571	0.308915	0.009631	16	20
